Player,Team,Position,Secondary Position,Nation,Age,90s Played,Goals per 90,Assists Per 90,xG per 90,xAG per 90,Tackles Won %,Shot Creating Actions per 90,Goal Creating Actions per 90,Aerial Win %,Pass Completion Rate,Pass<15 Yards Comp %,Pass 15-30 Comp %,Long_Cmp%,Successful Take-On %,SoT per 90,Goals per Shot,Goals per Shot on Target,npXG per Shot,npXG+xAG per 90,Goals & Assists Per 90,Prog Passes Received Per 90,Progressive Passes Per 90,Errors Per 90,Interceptions Per 90,Tackles Won per 90,Recoveries Per 90,Passes Completed Per 90,Total Pass Distance per 90,Total Prog Pass Distance per 90,Key Passes Per 90,Assists-xAG per 90,Through Balls per 90,Switches per 90,Crosses per 90,Touches per 90,Take-Ons Attempted per 90,Carries per 90,Dribble Distance per 90
Kevin Escamilla,Queretaro,MF,,MEX,29.0,29.6,0.07,0.0,0.03,0.01,50.0,0.94,0.03,43.9,80.4,81.1,86.8,65.5,18.2,0.24,0.07,0.29,0.04,0.04,0.07,0.51,3.45,0.03,1.32,0.95,6.11,23.48,440.2,148.11,0.2,-0.01,0.0,0.17,0.14,39.56,0.37,15.64,31.05
Miguel Barbieri,Queretaro,DF,,ARG,29.0,21.8,0.0,0.0,0.05,0.02,62.1,1.01,0.05,61.4,68.6,81.9,82.9,49.8,100.0,0.23,0.0,0.0,0.1,0.07,0.0,0.09,1.51,0.0,2.34,1.33,3.99,25.5,651.28,308.76,0.23,-0.02,0.0,1.42,0.05,50.83,0.09,19.04,44.68
Nicolás Cordero,Queretaro,FW,,ARG,24.0,7.5,0.13,0.13,0.24,0.08,42.9,1.33,0.13,43.4,63.3,74.5,51.0,75.0,50.0,0.4,0.06,0.33,0.11,0.32,0.27,4.0,1.07,0.0,0.4,0.53,3.73,14.27,190.4,34.0,0.4,0.05,0.0,0.13,0.4,36.4,1.6,12.93,26.0
Omar Israel Mendoza,Queretaro,DF,MF,MEX,34.0,22.0,0.0,0.05,0.02,0.05,54.0,1.73,0.27,57.5,67.0,84.6,74.6,41.7,50.0,0.14,0.0,0.0,0.04,0.06,0.05,1.77,2.82,0.0,2.05,1.18,5.77,24.73,471.73,253.68,0.36,-0.0,0.05,0.14,1.41,47.55,0.45,17.41,29.5
Pablo Barrera,Queretaro,MF,FW,MEX,36.0,30.7,0.23,0.29,0.16,0.28,35.7,3.61,0.45,50.0,64.9,82.4,72.4,42.6,40.0,0.33,0.09,0.3,0.05,0.34,0.52,5.64,3.62,0.03,0.62,0.46,6.29,24.5,439.41,164.63,2.51,0.01,0.13,0.26,8.27,48.4,3.75,25.34,81.5
Pablo Ortiz,Queretaro,DF,,MEX,21.0,7.4,0.14,0.14,0.01,0.06,56.0,0.68,0.14,40.0,69.4,88.5,69.2,49.2,60.0,0.41,0.33,0.33,0.02,0.07,0.27,1.35,2.57,0.14,1.35,1.62,5.27,26.62,514.59,225.54,0.41,0.08,0.14,0.27,1.35,49.73,0.68,15.68,30.41
Raúl Sandoval,Queretaro,MF,DF,MEX,23.0,22.1,0.09,0.05,0.08,0.09,45.5,2.58,0.09,44.6,60.1,80.9,64.1,44.9,32.8,0.18,0.08,0.5,0.07,0.16,0.14,5.07,1.58,0.0,0.54,0.41,4.66,15.66,307.74,110.27,1.4,-0.04,0.0,0.05,5.43,38.69,3.03,18.64,60.18
Samuel Sosa,Queretaro,FW,MF,VEN,23.0,7.4,0.41,0.14,0.25,0.1,25.0,2.71,0.68,31.8,64.8,76.5,73.0,54.5,31.8,0.68,0.23,0.6,0.14,0.35,0.54,5.81,1.62,0.0,0.0,0.27,2.84,12.7,217.16,52.43,1.22,0.04,0.0,0.14,1.49,29.32,2.97,16.22,25.14
Ángel Sepúlveda,Queretaro,FW,,MEX,32.0,3.6,0.84,0.0,0.12,0.06,60.0,2.52,0.0,48.1,62.1,75.0,65.2,62.5,62.5,1.12,0.33,0.75,0.05,0.18,0.84,5.28,3.06,0.0,0.0,1.11,5.0,20.0,322.22,66.94,1.11,-0.06,0.28,0.28,0.56,43.61,2.22,24.44,38.61
Óscar Manzanarez,Queretaro,DF,,MEX,28.0,21.4,0.0,0.0,0.03,0.04,68.0,0.7,0.05,52.3,76.2,89.6,82.7,46.7,40.0,0.0,0.0,0.0,0.06,0.07,0.0,0.47,1.64,0.0,1.54,0.98,3.74,21.4,420.56,182.71,0.19,-0.04,0.0,0.23,0.33,40.19,0.23,14.49,24.63
Aitor García,FC Juarez,FW,MF,ESP,29.0,26.1,0.31,0.04,0.18,0.06,30.3,2.91,0.19,50.0,70.4,82.5,76.2,56.5,46.6,1.11,0.09,0.28,0.05,0.24,0.34,7.13,2.8,0.0,0.69,0.61,3.91,23.18,427.05,79.66,0.96,-0.02,0.08,0.46,3.72,45.13,3.37,27.24,113.6
Aldo Cruz,FC Juarez,DF,,MEX,25.0,8.5,0.0,0.12,0.0,0.03,53.3,1.65,0.47,45.5,73.6,85.9,82.9,39.6,66.7,0.0,0.0,0.0,0.01,0.04,0.12,2.47,2.24,0.0,0.71,0.82,3.88,34.12,595.06,220.24,0.82,0.08,0.0,0.24,1.65,55.29,1.06,26.35,57.53
Alfredo Talavera,FC Juarez,GK,,MEX,40.0,16.3,0.0,0.0,0.0,0.0,0.0,0.18,0.0,66.7,69.8,100.0,98.2,44.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,1.9,23.5,653.87,486.81,0.0,0.0,0.0,0.18,0.0,35.71,0.06,18.04,53.19
Amaury Escoto,FC Juarez,FW,MF,MEX,30.0,6.0,0.33,0.17,0.25,0.06,50.0,1.49,0.5,48.6,65.6,68.3,78.8,62.5,14.3,0.83,0.15,0.4,0.12,0.31,0.5,2.67,1.5,0.0,0.0,0.17,1.83,10.17,172.33,32.17,0.5,0.12,0.0,0.0,0.33,25.33,1.17,12.83,19.67
Andrija Vukčević,FC Juarez,DF,MF,MNE,26.0,15.5,0.06,0.0,0.04,0.08,76.5,0.97,0.06,50.0,72.6,87.8,71.6,53.5,38.5,0.13,0.13,0.5,0.08,0.12,0.06,4.45,1.94,0.0,0.71,1.16,4.19,24.32,417.94,145.74,0.45,-0.08,0.0,0.13,3.29,42.39,1.68,22.45,80.13
Arturo Ortiz,FC Juarez,DF,,MEX,30.0,6.5,0.15,0.0,0.05,0.05,43.8,1.38,0.15,51.9,76.4,85.1,82.1,61.0,83.3,0.46,0.25,0.33,0.08,0.1,0.15,0.15,2.0,0.0,2.92,1.69,4.92,33.85,706.62,322.77,0.46,-0.06,0.0,0.15,0.77,57.54,0.92,24.62,74.77
Avilés Hurtado,FC Juarez,FW,MF,COL,36.0,19.2,0.42,0.16,0.36,0.18,23.8,4.87,0.63,46.5,75.1,86.5,77.3,58.7,39.2,0.63,0.12,0.33,0.11,0.38,0.57,7.29,5.36,0.05,0.57,0.83,3.75,31.2,544.9,145.78,2.19,-0.03,0.1,0.57,3.54,54.69,3.85,34.69,107.55
Benny Díaz,FC Juarez,GK,,MEX,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.6,100.0,100.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.25,19.25,648.0,470.75,0.0,0.0,0.0,0.0,0.0,28.75,0.0,15.75,36.0
Christian Oliva,FC Juarez,MF,,URU,27.0,5.6,0.0,0.36,0.04,0.19,46.2,4.83,0.89,37.5,79.9,92.2,82.8,63.6,66.7,0.72,0.0,0.0,0.03,0.22,0.36,1.25,5.54,0.0,0.36,1.07,6.25,40.36,813.21,306.25,3.21,0.16,0.18,0.54,5.36,59.46,1.07,33.04,65.71
Denzell García,FC Juarez,MF,,MEX,19.0,17.5,0.06,0.0,0.07,0.05,41.2,2.4,0.0,59.0,82.9,88.5,87.3,66.4,68.0,0.34,0.04,0.17,0.05,0.12,0.06,1.03,3.43,0.0,0.74,1.03,6.17,34.91,658.86,157.89,1.2,-0.05,0.17,0.63,0.46,53.49,1.43,30.86,67.77
